term,count_a,count_b,log_odds,z
bolsonaro psl,7,164,-3.62633415202228,-9.402396085248995
000 00,7,160,-3.6016325638368905,-9.333568866847719
jornal nacional,38,131,-1.711031533354043,-9.287313866450889
postagens redes,10,129,-3.0299530051094665,-9.234767734182512
compartilhada redes,10,126,-3.0064164790487578,-9.155188751395087
sociais mensagem,3,359,-5.255673157360926,-9.080266352185818
compartilhado redes,12,116,-2.741547045783605,-9.044321847601648
exército brasileiro,16,109,-2.3918114712594782,-8.936470641799747
diz mensagem,12,112,-2.7064483059515894,-8.913613013174823
aqui brasil,25,111,-1.9639204580699818,-8.872794153560164
geraldo alckmin,48,133,-1.492611054674179,-8.8652578798341
candidato reeleição,56,141,-1.3969045489951668,-8.844419163049073
bill gates,10,114,-2.9063098778117347,-8.816263584481364
partido trabalhadores,28,112,-1.8596002003627117,-8.802570269806866
michel temer,80,162,-1.1791263114461907,-8.629343331339374
jair messias,18,101,-2.197853474105276,-8.592663500858851
twitter instagram,4,180,-4.278012519205458,-8.472860190625202
boa sorte,10,101,-2.7852091160421484,-8.405361970825846
presidente lula,5,140,-3.803962656309829,-8.36605441726971
sites blogs,3,239,-4.848513196110225,-8.35938326439389
messias bolsonaro,12,95,-2.541797684460713,-8.299743466672252
rio francisco,11,92,-2.59664224839384,-8.14258912827953
primeira quinzena,9,94,-2.8186235382968974,-8.082127984982877
mil reais,9,94,-2.8186235382968974,-8.082127984982877
menos desde,8,92,-2.914760341540646,-7.9121260981018935
confira seguir,4,137,-4.004941157374828,-7.90504058363368
imagem mostra,5,115,-3.6072022704072424,-7.903698210560583
adélio bispo,13,85,-2.3505778961656123,-7.895705752288312
haddad pt,20,88,-1.9547420195954448,-7.892724015233263
reforma previdência,20,88,-1.9547420195954448,-7.892724015233263
diz legenda,4,136,-3.99761302915738,-7.889751449479561
texto diz,12,85,-2.4305581871036424,-7.884640547901404
vai fazer,28,95,-1.6949495788718352,-7.883337783453311
lei rouanet,6,102,-3.3052294492054273,-7.874230741374086
vai ter,83,151,-1.0719710755532246,-7.845572506402083
sociais mostra,9,87,-2.7412270619228867,-7.83269362707901
superior eleitoral,250,303,-0.6659770222465564,-7.794638837712689
sociais foto,4,129,-3.9447561640630147,-7.779390382625331
presidente brasil,23,88,-1.8150403605551482,-7.751932726010024
circular redes,5,107,-3.5350844803702905,-7.733624077346005
viralizou redes,25,89,-1.7429911536919835,-7.701599151571462
presidente luiz,6,95,-3.2341223789824447,-7.6890850109714215
mil visualizações,8,84,-2.823777918419193,-7.636092379005213
publicação facebook,6,91,-3.1910991223633243,-7.5768982046555875
covid 19,16,79,-2.0698675417242196,-7.552169664183998
bandeira brasil,12,77,-2.3317035787073053,-7.5157895290479715
sociais desde,9,75,-2.5927939523491546,-7.353577005783096
rede social,256,297,-0.6222358666628001,-7.296231794566283
quer dizer,25,82,-1.6610652506490524,-7.2718426244721055
intervenção militar,27,84,-1.6082304558364449,-7.2706871071412875
notícia falsa,7,76,-2.8570406888831794,-7.238014290190421
tribunal superior,268,305,-0.6030082196966617,-7.202294580822521
