term,count_a,count_b,log_odds,z
fraude urnas eletrônicas,4,21,-1.8915040306038549,-3.470953782834676
adélio bispo oliveira,5,22,-1.7153588272548816,-3.4653028329657345
primeira semana fevereiro,3,20,-2.129587737162563,-3.4446862365437525
contra presidente bolsonaro,3,20,-2.129587737162563,-3.4446862365437525
então candidato presidência,6,23,-1.577803092071445,-3.4442894714673056
redes sociais sobre,10,28,-1.2642854893995423,-3.433307405894911
número possível pessoas,2,20,-2.533397201658616,-3.423861607777791
maior número possível,7,24,-1.4664327355260909,-3.4158307136201134
tarde desta segunda-feira,20,40,-0.9282270626631153,-3.3901120339023505
maior número pessoas,12,30,-1.1511016964966263,-3.3712438823140753
colocados recente pesquisa,3,19,-2.0783155475334247,-3.3502493794328343
presidente jair messias,3,19,-2.0783155475334247,-3.3502493794328343
mostra presidente jair,2,19,-2.4821250120294778,-3.346542788536211
eleições deste ano,18,37,-0.9555833976277324,-3.326018814653364
ministra damares alves,4,19,-1.7914602771526038,-3.260001259816814
primeira semana janeiro,4,19,-1.7914602771526038,-3.260001259816814
dia 28 agosto,4,19,-1.7914602771526038,-3.260001259816814
redes sociais menos,3,18,-2.024272352714135,-3.250818270663284
atual presidente jair,10,26,-1.19019458411519,-3.199877335258577
