term,count_a,count_b,log_odds,z
fraude urnas eletrônicas,5,21,-1.757046546355559,-3.5339590247122006
dia 28 agosto,3,19,-2.1665061522809843,-3.4924128344375256
colocados recente pesquisa,3,19,-2.1665061522809843,-3.4924128344375256
prisão segunda instância,2,19,-2.570315268851987,-3.4654459326398244
mostra presidente jair,2,19,-2.570315268851987,-3.4654459326398244
ex-presidente dilma rousseff,25,43,-0.8656799649179732,-3.442552877854142
pesquisas intenção voto,17,34,-1.0163595689049938,-3.4224146477642057
presidente jair messias,4,19,-1.8796512298279513,-3.420486323590063
ministra damares alves,4,19,-1.8796512298279513,-3.420486323590063
primeira semana janeiro,4,19,-1.8796512298279513,-3.420486323590063
simone tebet mdb,3,18,-2.1124629590796022,-3.3924452775674383
eleições deste ano,20,37,-0.9384666828175803,-3.3821147573725807
tribunal regional eleitoral,25,42,-0.8421498067666953,-3.3344201997024783
sociais aplicativos mensagens,4,18,-1.8256080366265692,-3.3061908857079283
redes sociais menos,4,18,-1.8256080366265692,-3.3061908857079283
apoio jair bolsonaro,5,19,-1.657002796140178,-3.299488819814114
recente pesquisa datafolha,5,19,-1.657002796140178,-3.299488819814114
presidente eleito jair,2,17,-2.4591411270086,-3.297071628799183
pesquisa intenção voto,3,17,-2.0553320104375974,-3.2868913931144186
maior número pessoas,14,29,-1.0513609130735375,-3.2315401491697373
governo dilma rousseff,9,23,-1.2610731312099794,-3.208856630981811
primeira semana abril,2,16,-2.3985480517745366,-3.205270782435181
circulou redes sociais,4,17,-1.7684770879845644,-3.1857187001189624
candidatos presidência república,3,16,-1.994738935203534,-3.1751169190299247
redes sociais homem,3,16,-1.994738935203534,-3.1751169190299247
