term,count_a,count_b,log_odds,z
exército brasileiro,22,109,-1.9745506653784037,-8.449726956063627
foto mostra,5,157,-3.8196382209112203,-8.416285052318145
geraldo alckmin,46,133,-1.4361931749306676,-8.397119728254806
diz mensagem,9,112,-2.894892360652289,-8.359775987104912
twitter instagram,4,180,-4.179047994739683,-8.276855018628662
rede social,205,298,-0.7488421412197228,-8.252786148294842
partido trabalhadores,29,111,-1.7165802446112028,-8.232353088161167
jair messias,11,101,-2.591022364101633,-8.163929062885932
eleitoral tse,69,152,-1.1643308780940407,-8.021447049860457
mil reais,13,94,-2.3522676747536515,-7.9520653745801795
boa sorte,8,100,-2.899189002522988,-7.895186871523132
primeira quinzena,10,94,-2.614406788680114,-7.863552722327536
superior eleitoral,220,303,-0.6948527139401159,-7.844825744792735
messias bolsonaro,9,95,-2.730241729966993,-7.832307506577941
presidente luiz,8,95,-2.847887845406925,-7.740393264912359
michel temer,83,162,-1.043333953941164,-7.729629744015465
haddad pt,14,88,-2.212246336661357,-7.690877662355422
sociais mostra,11,87,-2.4417891462064976,-7.633593926570287
adélio bispo,12,85,-2.3315922480107716,-7.563598714641432
reforma previdência,19,88,-1.9070435158798595,-7.540240509961032
começou espalhar,3,165,-4.378855251610362,-7.52867377365293
rio francisco,7,92,-2.9491499527879146,-7.526826731448738
começou circular,6,97,-3.155994634602589,-7.507943084971849
texto diz,17,85,-1.9835214530973975,-7.467606194994531
mil visualizações,9,84,-2.6071665449696315,-7.437183462291906
estadão verifica,4,118,-3.7566421801743974,-7.398026994795091
vídeo homem,3,153,-4.303320946301886,-7.393613702172253
viralizou redes,23,89,-1.7273734521625865,-7.386116720149059
voltou circular,3,151,-4.290158476466118,-7.370057517003502
tribunal superior,234,305,-0.6397205934252304,-7.361429191432413
presidente brasil,23,88,-1.7160725485702244,-7.329246907435232
vai fazer,31,95,-1.494227359851699,-7.224910786283304
confira seguir,3,138,-4.200104432867083,-7.208721701285488
bandeira brasil,10,77,-2.4148962878691176,-7.187527922557723
quer dizer,20,82,-1.7851497156126186,-7.159602907453415
publicação facebook,5,91,-3.2741248472883377,-7.134734308519122
vai acontecer,21,82,-1.7363815444123052,-7.1011848941325315
notícia falsa,8,76,-2.6247207320213786,-7.065507916900368
covid 19,20,79,-1.7478750764425879,-6.9841491258783375
intervenção militar,26,84,-1.546989853331679,-6.894254532815404
