term,chi2,p,characteristic_of
sites blogs,37.038626716045016,1.1581212369694405e-09,1
estaduais,37.033686036862946,1.1610594596691542e-09,0
afirmam,36.9969943981356,1.1831147984684916e-09,1
veículos imprensa,36.97067776728359,1.1991916026068876e-09,0
secretarias,36.9399951997232,1.2182119448609457e-09,0
circula whatsapp,36.90650178145706,1.2393197662963873e-09,1
coletiva,36.81830784022125,1.2966686090992516e-09,0
vídeo circula,36.791644486002085,1.3145242707838532e-09,1
geral república,36.72065642987586,1.3632723791300093e-09,0
meses,36.70130884072542,1.3768696614605346e-09,0
conselho,36.67055327231766,1.3987644049839483e-09,0
foto mostra,36.40703202822385,1.6012446214477373e-09,1
reunião,36.13709382265165,1.839124890009918e-09,0
verdadeira,36.05661482649759,1.9166703909108177e-09,1
vacina,35.70700584872465,2.2933778735889866e-09,0
vezes facebook,35.36908366664925,2.727826459238166e-09,1
sociais imagem,35.35905328038973,2.741910821796506e-09,1
comunicado,35.32597568400306,2.7888754642903294e-09,0
horas,35.2732750743442,2.8653712845195125e-09,0
agência nacional,35.26924488582243,2.8713069337583376e-09,0
mortes covid,35.16136225393359,3.0348550850699947e-09,0
diversos sites,35.102188931122605,3.1284893087161204e-09,1
íntegra folha,35.08108106334005,3.162585278263769e-09,0
ladrão,35.01088133155581,3.2786798472741765e-09,1
marcelo queiroga,34.97506650563938,3.339543903677025e-09,0
eduardo pazuello,34.92474904002552,3.4269701636931345e-09,0
profissionais,34.8702673541995,3.524218012655717e-09,0
região,34.78603777251321,3.6800319389315843e-09,0
cara,34.71741796507188,3.812055704246709e-09,1
defendeu,34.68065126978016,3.88473535266405e-09,0
link,34.66616933494143,3.913742431802259e-09,1
público,34.64953424071844,3.9473300296829195e-09,0
prefeito,34.62668082723386,3.993944106483943e-09,0
pesquisadores,34.62271180449082,4.002095717894902e-09,0
número casos,34.59551669851393,4.058399225971806e-09,0
compartilhe,34.538082804973,4.179928069933524e-09,1
homem,34.51540240913788,4.2289170574492075e-09,1
balanço,34.35554413416599,4.590907208857907e-09,0
vigilância sanitária,34.227412934867544,4.903335741892704e-09,0
três,34.12471553657557,5.169053790418452e-09,0
nacional vigilância,34.12448908150709,5.169655372749401e-09,0
primeira dose,34.12194407731126,5.1764210501445255e-09,0
legendas,34.10901669069099,5.210924571536678e-09,1
deve,34.01069961766366,5.480984266501957e-09,0
dem,33.97997249941825,5.5682278169923375e-09,0
circular,33.96212456149141,5.61954061607909e-09,1
mil compartilhamentos,33.94346902173327,5.673681536294702e-09,1
posts,33.893528901068564,5.821199480507729e-09,1
ver,33.5397729747272,6.982153172354027e-09,1
decidiu,33.51348750366475,7.077152152620084e-09,0
através redes,33.502990459177965,7.115450513496879e-09,1
imunizante,33.48531498250067,7.18040891851155e-09,0
segunda,33.42832788560756,7.393911634138675e-09,0
centro,33.24306570117194,8.132925327777501e-09,0
urnas,33.17992554121966,8.401339878388897e-09,1
enganosa,33.097630211716115,8.764547870591212e-09,1
checagem produzida,33.07044571755907,8.88794869399194e-09,1
defesa,33.03048505737501,9.072511523918147e-09,0
investigação,32.98832978167833,9.271372669821029e-09,0
2018,32.94964484356929,9.457702220236357e-09,1
twitter facebook,32.74650828862275,1.049947384234908e-08,1
neste,32.71849762257392,1.0651870332094922e-08,0
